"id","id_country","nb_athlete","id_jo"
0,164,29,15
1,164,40,22
2,35,98,22
3,212,10,22
4,109,21,22
5,166,44,22
6,115,162,22
7,112,23,22
8,215,134,22
9,157,37,22
10,45,9,22
11,172,40,22
12,21,101,22
13,10,92,22
14,13,30,15
15,143,69,22
16,41,85,22
17,174,185,22
18,80,238,22
19,234,253,22
20,88,13,22
21,87,294,22
22,75,10,22
23,149,47,22
24,231,10,22
25,27,5,22
26,119,27,22
27,215,47,15
28,239,34,22
29,57,12,22
30,79,117,22
31,115,41,15
32,227,49,22
33,238,79,15
34,160,12,22
35,226,42,22
36,79,48,15
37,209,144,22
38,104,184,22
39,113,28,15
40,171,31,22
41,216,149,22
42,175,65,22
43,16,13,22
44,113,280,22
45,155,110,22
46,31,72,22
47,108,23,22
48,238,292,22
49,13,189,22
50,242,36,22
51,87,74,15
52,125,19,22
53,178,35,22
54,180,98,22
55,10,6,15
56,64,100,22
57,41,44,15
58,51,16,22
59,131,52,22
60,220,116,22
61,106,45,22
62,90,48,22
63,80,26,15
64,99,5,22
65,216,21,15
66,209,4,15
67,219,20,22
68,110,49,22
69,206,55,22
70,14,103,22
71,176,27,22
72,104,3,15
73,145,11,22
74,105,4,15
75,14,26,15
76,174,13,15
77,45,5,15
78,107,22,22
79,137,10,22
80,155,7,15
81,129,5,22
82,168,6,22
83,192,9,22
84,157,4,15
85,0,27,22
86,47,4,22
87,178,7,15
88,151,10,22
89,234,17,15
90,210,5,22
91,248,4,22
92,24,9,22
93,227,2,15
94,35,7,15
95,1,12,22
96,206,4,15
97,105,9,22
98,129,3,15
99,125,2,15
100,127,4,22
101,100,1,22
102,78,2,22
103,64,1,15
104,164,58,16
105,109,13,25
106,69,73,25
107,113,61,16
108,235,4,25
109,166,41,25
110,215,94,25
111,171,31,25
112,115,328,25
113,88,33,25
114,61,9,25
115,10,102,25
116,35,63,25
117,234,204,25
118,215,57,16
119,31,61,25
120,87,337,25
121,149,20,25
122,216,72,16
123,176,32,25
124,108,4,16
125,119,37,25
126,108,62,25
127,113,168,25
128,104,182,25
129,10,12,16
130,209,51,25
131,143,94,25
132,13,243,25
133,160,18,25
134,164,26,25
135,14,56,25
136,80,138,25
137,227,23,25
138,238,90,16
139,41,55,16
140,106,53,25
141,134,61,25
142,79,89,25
143,216,66,25
144,175,20,25
145,41,115,25
146,75,12,25
147,172,47,25
148,238,346,25
149,21,61,25
150,239,23,25
151,104,28,16
152,155,125,25
153,87,96,16
154,231,13,25
155,178,154,25
156,39,13,25
157,62,13,16
158,64,60,25
159,110,25,25
160,180,138,25
161,180,27,16
162,234,36,16
163,174,140,25
164,35,7,16
165,131,12,25
166,220,31,16
167,157,64,25
168,1,8,25
169,125,5,25
170,51,20,25
171,80,24,16
172,219,54,25
173,112,10,25
174,14,83,16
175,115,47,16
176,226,9,25
177,247,12,25
178,225,13,25
179,220,75,25
180,146,21,25
181,146,13,16
182,248,29,25
183,55,2,25
184,145,1,25
185,151,11,25
186,105,5,16
187,79,51,16
188,57,27,25
189,125,4,16
190,174,51,16
191,45,5,16
192,27,4,25
193,21,8,16
194,242,16,25
195,114,21,25
196,13,5,16
197,129,2,25
198,106,1,16
199,210,6,25
200,136,2,25
201,168,10,25
202,64,2,16
203,47,39,25
204,0,40,25
205,178,7,16
206,16,11,25
207,24,4,25
208,159,1,25
209,155,6,16
210,227,5,16
211,196,12,25
212,99,1,25
213,53,2,25
214,90,18,25
215,45,14,25
216,209,6,16
217,129,6,16
218,105,4,25
219,154,6,25
220,44,2,25
221,26,1,25
222,127,1,25
223,90,3,16
224,3,1,25
225,40,1,25
226,132,3,25
227,67,1,25
228,164,46,19
229,40,5,19
230,143,275,19
231,113,47,27
232,212,5,19
233,134,31,19
234,160,36,19
235,172,49,19
236,115,171,19
237,10,89,19
238,125,11,19
239,69,30,19
240,80,200,19
241,175,20,19
242,171,28,19
243,227,29,19
244,70,60,19
245,234,225,19
246,155,107,19
247,88,31,19
248,35,112,19
249,176,58,19
250,209,20,27
251,168,16,19
252,55,18,19
253,149,25,19
254,239,27,19
255,166,15,19
256,79,66,19
257,14,43,19
258,215,100,19
259,115,61,27
260,109,3,19
261,227,11,27
262,209,122,19
263,113,167,19
264,16,16,19
265,95,48,19
266,57,115,19
267,75,18,19
268,31,76,19
269,180,82,19
270,90,44,19
271,104,167,19
272,238,357,19
273,238,96,27
274,104,10,27
275,216,85,19
276,174,177,19
277,99,5,19
278,178,54,19
279,68,15,19
280,14,76,27
281,164,65,27
282,64,64,19
283,22,7,19
284,13,128,19
285,215,68,27
286,90,3,27
287,234,38,27
288,41,139,19
289,35,6,27
290,220,69,19
291,220,30,27
292,27,5,19
293,157,52,19
294,108,14,19
295,149,5,27
296,51,43,19
297,80,75,27
298,41,70,27
299,225,19,19
300,158,11,19
301,119,39,19
302,26,4,19
303,219,41,19
304,45,21,19
305,226,7,19
306,1,5,19
307,155,9,27
308,174,31,27
309,21,82,19
310,136,2,19
311,217,2,19
312,110,31,19
313,108,4,27
314,97,15,19
315,112,29,19
316,103,6,19
317,180,30,27
318,63,5,19
319,125,3,27
320,145,2,19
321,146,7,27
322,146,16,19
323,129,9,27
324,24,6,19
325,105,4,27
326,129,2,19
327,157,6,27
328,237,6,19
329,216,34,27
330,242,23,19
331,45,4,27
332,114,25,19
333,106,1,27
334,19,9,19
335,196,21,19
336,64,3,27
337,67,18,19
338,0,43,19
339,106,25,19
340,235,4,19
341,13,3,27
342,199,3,19
343,47,11,19
344,170,1,19
345,159,2,19
346,121,2,19
347,107,6,19
348,61,10,19
349,231,11,19
350,79,52,27
351,178,8,27
352,10,5,27
353,131,5,19
354,192,4,19
355,105,8,19
356,137,1,19
357,151,4,19
358,44,3,19
359,247,7,19
360,210,3,19
361,128,1,19
362,3,3,19
363,78,1,19
364,43,1,19
365,213,1,19
366,132,4,19
367,164,112,20
368,212,26,20
369,160,25,20
370,44,4,20
371,235,15,20
372,121,4,20
373,69,23,20
374,75,31,20
375,115,85,28
376,115,184,20
377,31,81,20
378,10,92,20
379,113,224,20
380,205,3,20
381,125,19,20
382,238,400,20
383,215,58,28
384,80,227,20
385,51,59,20
386,171,20,20
387,234,284,20
388,57,137,20
389,88,35,20
390,239,13,20
391,174,290,20
392,108,48,20
393,41,208,20
394,40,11,20
395,231,33,20
396,104,232,20
397,172,53,20
398,222,7,20
399,27,2,20
400,14,111,20
401,216,151,20
402,216,52,28
403,23,3,20
404,180,159,20
405,143,174,20
406,238,103,28
407,64,126,20
408,155,119,20
409,166,25,20
410,79,96,20
411,227,43,20
412,13,168,20
413,149,35,20
414,195,10,20
415,215,131,20
416,175,29,20
417,220,126,20
418,176,53,20
419,90,3,28
420,3,5,20
421,107,6,20
422,41,47,28
423,114,33,20
424,104,1,28
425,112,14,20
426,209,123,20
427,237,16,20
428,70,11,20
429,134,45,20
430,24,9,20
431,119,57,20
432,35,130,20
433,178,42,20
434,14,40,28
435,164,67,28
436,196,38,20
437,132,11,20
438,131,11,20
439,113,44,28
440,157,89,20
441,219,33,20
442,225,19,20
443,80,40,28
444,1,8,20
445,26,11,20
446,168,7,20
447,99,3,20
448,90,60,20
449,105,25,20
450,151,18,20
451,61,11,20
452,155,11,28
453,106,41,20
454,174,47,28
455,21,88,20
456,146,39,20
457,110,59,20
458,108,4,28
459,129,6,20
460,242,23,20
461,45,11,20
462,145,5,20
463,16,20,20
464,234,37,28
465,53,6,20
466,19,13,20
467,226,35,20
468,220,26,28
469,67,5,20
470,137,5,20
471,36,1,20
472,21,1,28
473,213,2,20
474,180,13,28
475,129,4,28
476,95,8,20
477,136,3,20
478,158,8,20
479,192,7,20
480,55,3,20
481,47,10,20
482,178,5,28
483,0,21,20
484,100,7,20
485,0,5,28
486,39,9,20
487,247,11,20
488,133,16,20
489,62,6,28
490,172,2,28
491,13,4,28
492,159,4,20
493,146,4,28
494,68,2,20
495,217,5,20
496,157,2,28
497,209,3,28
498,170,3,20
499,210,4,20
500,62,37,20
501,79,50,28
502,127,5,20
503,125,1,28
504,154,2,20
505,2,5,20
506,10,2,28
507,74,2,20
508,84,1,20
509,126,1,20
510,35,4,28
511,22,1,20
512,78,2,20
513,80,206,23
514,209,113,23
515,158,15,23
516,121,15,23
517,41,385,23
518,69,26,23
519,226,15,23
520,108,84,23
521,115,58,29
522,115,213,23
523,31,79,23
524,10,69,23
525,35,158,23
526,155,108,23
527,234,242,23
528,168,8,23
529,238,396,23
530,57,156,23
531,170,4,23
532,175,19,23
533,157,80,23
534,174,207,23
535,225,13,23
536,13,180,23
537,238,106,29
538,215,39,29
539,216,50,23
540,180,157,23
541,234,42,29
542,90,36,23
543,143,97,23
544,134,23,23
545,79,47,29
546,79,83,23
547,227,27,23
548,195,14,23
549,21,101,23
550,113,210,23
551,215,116,23
552,220,28,29
553,239,9,23
554,220,88,23
555,51,35,23
556,105,13,23
557,106,26,23
558,166,24,23
559,41,59,29
560,114,20,23
561,172,14,23
562,55,5,23
563,176,80,23
564,113,58,29
565,104,178,23
566,67,10,23
567,164,66,23
568,62,38,23
569,178,50,23
570,64,66,23
571,164,41,29
572,95,28,23
573,237,21,23
574,180,32,29
575,5,5,29
576,157,5,29
577,80,35,29
578,242,32,23
579,219,42,23
580,35,29,29
581,14,60,23
582,61,8,23
583,227,9,29
584,196,21,23
585,174,56,29
586,14,77,29
587,216,59,29
588,149,9,23
589,146,32,23
590,112,26,23
591,145,8,23
592,192,2,29
593,155,7,29
594,129,9,29
595,24,16,23
596,21,4,29
597,131,8,23
598,213,3,23
599,129,6,23
600,13,8,29
601,110,44,23
602,16,11,23
603,45,5,29
604,171,13,23
605,192,10,23
606,47,25,23
607,100,13,23
608,0,6,29
609,9,10,23
610,19,11,23
611,169,6,23
612,10,8,29
613,68,5,23
614,5,3,23
615,45,7,23
616,125,3,23
617,27,4,23
618,209,4,29
619,103,3,23
620,26,4,23
621,107,7,23
622,105,8,29
623,108,4,29
624,90,4,29
625,42,2,23
626,40,4,23
627,178,3,29
628,154,1,23
629,78,2,23
630,22,4,23
631,125,1,29
632,104,3,29
633,79,52,6
634,209,155,24
635,113,159,24
636,121,56,24
637,3,54,24
638,109,43,24
639,217,67,24
640,128,29,24
641,53,23,24
642,10,13,6
643,35,271,24
644,23,16,24
645,234,219,24
646,174,306,24
647,164,63,6
648,57,208,24
649,175,11,24
650,242,37,24
651,225,9,24
652,215,145,24
653,155,75,24
654,160,44,24
655,238,101,6
656,31,106,24
657,215,61,6
658,146,43,24
659,216,73,24
660,198,11,24
661,80,121,24
662,137,8,24
663,97,9,24
664,55,29,24
665,40,25,24
666,106,72,24
667,79,105,24
668,115,50,6
669,199,14,24
670,231,13,24
671,1,11,24
