"id","name","sex","height","wheight","team","id_country"
50001,"Boaz Kiplagat Lalang","M",,,"Kenya",119
50002,"Panayotis Alexander  Lalas","M","191","89","United States",238
50003,"Pauga Lalau","M",,,"Samoa",191
50004,"Yevgeny Alekseyevich Lalenkov","M","188","85","Russia",181
50005,"Valentina Nikolayevna Lalenkova (Golovenkina-)","F","173","68","Soviet Union",
50006,"Eleei Lalio","M","170","103","American Samoa",4
50007,"Alexandros Laliotis","M","177","96","Greece",90
50008,"Caroline Lalive","F","165","62","United States",238
50009,"Gennady Kazbekovich Laliyev","M","174","84","Kazakhstan",118
50010,"Ral Lall","M",,"59","Guyana",99
50011,"Ann Lallande","F","165","52","Puerto Rico",176
50012,"Giorgio Lalle","M",,,"Italy",113
50013,"Juha Lallukka","M","180","66","Finland",79
50014,"Jade Louise Lally","F","182","88","Great Britain",234
50015,"Anthony  Lally","M","168","60","Ireland",110
50016,"Genevive Lalonde","F","170","58","Canada",41
50017,"tienne Lalonde-Turbide","M","195","59","Canada",41
50018,"Ivet Miroslavova Lalova-Collio","F","168","56","Bulgaria",35
50019,"Changte Lalremsaga","M",,,"India",106
50020,"Balzs Laluska","M","201","106","Hungary",104
50021,"Lm Hi Vn","M",,,"Vietnam",243
50022,"Lam Hin Chung","M","185","74","Hong Kong",47
50023,"Lam Kok Meng","M","165","55","Malaysia",134
50024,"Lam Lap Hing","M","173","78","Hong Kong",47
50025,"Lam Mun Fatt","M",,,"Malaysia",134
50026,"King-Teng  Lam","F",,,"Mauritius",141
50027,"Lap Suen  Lam","M","185","75","Hong Kong",47
50028,"Samantha June Lam","F","170","58","Hong Kong",47
50029,"Sheung-Yee  Lam","M","165","64","Chinese Taipei",0
50030,"Tak Chuen  Lam","M","175","69","Hong Kong",47
50031,"Lam Tin Sau","M","186","65","Hong Kong",47
50032,"Lm Vn Honh","M","174","67","Vietnam",243
50033,"Holly Elizabeth Lam-Moores","F","169","59","Great Britain",234
50034,"Gabriel Eduardo Lama Valenzuela","M","180","90","Chile",45
50035,"David Lamai","M","170","71","Kenya",119
50036,"Sofiane Lamali","M","188","90","Algeria",3
50037,"Tania Lamarca Celada","F","158","36","Spain",209
50038,"Benot  Lamarche","M","177","72","Canada",41
50039,"Marie-Pierre Lamarche","F","165","55","Canada",41
50040,"Mohamed Lamari","M","171","70","Morocco",149
50041,"Gianluca Lamaro","M","177","70","Italy",113
50042,"Yves Lamarque","M","178","86","France",80
50043,"Kim Lamarre","F","165","54","Canada",41
50044,"Whynter Lamarre","F","173","68","Canada",41
50045,"Gunta Lamaa (Kreine-, -Vlasenko)","F","179","67","Latvia",124
50046,"Eric Lamaze","M","170","65","Canada",41
50047,"Douglas Gilbert Lamb","M","180","69","Belize",22
50048,"Gary Alan Lamb","M","175","80","New Zealand",157
50049,"Maria Teresa Sullivan Lamb","F","168","59","United States",238
50050,"Indrajit Singh Lamba","M","176","70","India",106
50051,"Hayat Lambarki","F","172","57","Morocco",149
50052,"Stephen Lambdin","M","188","109","United States",238
50053,"Claire Lambe","F","178","57","Ireland",110
50054,"Karin Ingrid Lamberg-Skog","F","168","55","Sweden",215
50055,"Anne-Marie Lambert (-Rosengren)","F","162","55","Sweden",215
50056,"Charles Lambert","M","177","80","France",80
50057,"Christopher Patrick  Lambert","M","189","83","Great Britain",234
50058,"Christophe Lambert","M","184","86","Germany",87
50059,"Claude Lambert","M","162","54","Canada",41
50060,"Denis Lambert","M","178","64","Canada",41
50061,"Franck Lambert","M","185","73","France",80
50062,"George Howard Lambert, Jr.","M","188","81","United States",238
50063,"Jodi Louise Lambert","F","168","60","Australia",13
50064,"Laurie Jean Lambert","F","152","55","Canada",41
50065,"Michael Lambert","M","178","76","Canada",41
50066,"Michael Allen  Lambert","M","200","94","United States",238
50067,"Nathalie Brigitte Lambert","F","170","65","Canada",41
50068,"Olivier Lambert","M","186","74","France",80
50069,"Peter Lambert","M","190","90","Great Britain",234
50070,"Richard Lambert","M","180","82","Canada",41
50071,"Stephen Lambert","M","188","87","Australia",13
50072,"Thomas Lambert","M","182","75","Switzerland",216
50073,"Giorgio Lamberti","M","183","77","Italy",113
50074,"Thierry Dominique Lamberton","M","184","76","France",80
50075,"Walter Lambertus","M","186","87","Romania",180
50076,"Stphane Lambiel","M","174","61","Switzerland",216
50077,"Norbert Lambing","M","197","97","Austria",14
50078,"Regan Lamble","F","174","55","Australia",13
50079,"Lankantien Lamboni","M","188","78","Togo",222
50080,"Richard Edward  Lambourne","M","190","100","United States",238
50081,"Santiago Lambre Della Groce","M","178","68","Mexico",143
50082,"Tracey Lambrechs","F","167","105","New Zealand",157
50083,"Martin Ernst Lambrecht","M",,,"South Africa",206
50084,"Burger Lambrechts","M","198","138","South Africa",206
50085,"Jozef  Lambrechts","M","174","71","Belgium",21
50086,"Marcel Lambrechts","M","178","75","Belgium",21
50087,"Cornelis Johannes Maria  Lambregts","M","178","66","Netherlands",155
50088,"Hubertus  Lambriex","M","196","79","Netherlands",155
50089,"Lambros Lambrou","M","174","72","Cyprus",59
50090,"Maria  Lambrou-Teloni","F","170","60","Greece",90
50091,"Alessandro Lambruschini","M","178","63","Italy",113
50092,"Richard L.  Lamby","M","182","88","United States",238
50093,"Michal Lamdani (-Cohen)","F","172","64","Israel",112
50094,"Ayad Lamdassem El Mouhcin","M","172","52","Spain",209
50095,"Garba Lame","M","148","52","Nigeria",160
50096,"Paulo Raulino Lamego","M","177","75","Brazil",31
50097,"Jol Lamela Luaces","M","172","70","Cuba",57
50098,"Santiago  Lamela Toba","M","177","79","Spain",209
50099,"Lzaro Lamelas Ramrez","M","163","59","Cuba",57
50100,"Paul Emile Lamey","M","180","82","United States-1",238
50101,"Adam Lamhamedi","M","170","76","Morocco",149
50102,"Nasir Lamine","M",,,"Ghana",88
50103,"Bernard Lamiti","M","180","76","France",80
50104,"Harry Lamme","M","187","84","Netherlands",155
50105,"Hank Jacob Lammens","M","190","93","Canada",41
50106,"Kim Lammers","F","176","69","Netherlands",155
50107,"Mathilde Lamolle","F","167","58","France",80
50108,"Myriam Corinne Lamolle","F","168","58","France",80
50109,"Francesco Lamon","M","173","60","Italy",113
50110,"Sophie Lamon","F","173","53","Switzerland",216
50111,"Yevgeniya Alekseyevna Lamonova","F","174","62","Russia",181
50112,"Christopher Lamont","M","199","76","Great Britain",234
50113,"Didier Lamont","M",,,"Belgium",21
50114,"Rnelle Lamote","F","165","59","France",80
50115,"Dieudonn Michel Lamothe","M","175","65","Haiti",100
50116,"Samir Lamouchi","M",,,"Tunisia",226
50117,"Jean-Franois Lamour","M","184","86","France",80
50118,"ve Lamoureux","F","160","59","Canada",41
50119,"Jocelyne Nicole Lamoureux","F","168","70","United States",238
50120,"Justin Lamoureux","M","188","75","Canada",41
50121,"Monique Edith Lamoureux (-Kolls)","F","168","70","United States",238
50122,"Matti Veikko Lampainen","M","178","82","Finland",79
50123,"Thomas Lamparter","M","183","98","Switzerland-1",216
50124,"Leif Lampater","M","182","70","Germany",87
50125,"Hans Lampe","M","194","82","West Germany",
50126,"Oliver Lampe","M","198","97","Germany",87
50127,"Werner Lampe","M","195","80","West Germany",
