"id","name","id_country","lat","lng"
0,"Barcelona",209,"41.38879","2.15899"
1,"London",234,"51.50853","-0.12574"
2,"Calgary",41,"51.05011","-114.08529"
3,"Albertville",80,"45.67452","6.39061"
4,"Lillehammer",164,"61.11514","10.46628"
5,"Los Angeles",238,"34.05223","-118.24368"
6,"Salt Lake City",238,"40.76078","-111.89105"
7,"Lake Placid",238,"44.27962","-73.98198"
8,"Sydney",13,"-33.86785","151.20732"
9,"Atlanta",238,"33.749","-84.38798"
10,"Sochi",181,"43.59917","39.72569"
11,"Nagano",115,"36.65","138.18333"
12,"Turin",113,"45.07049","7.68682"
13,"Beijing",46,"39.9075","116.39723"
14,"Rio de Janeiro",31,"-22.90642","-43.18223"
15,"Athens",90,"37.97945","23.71622"
16,"Squaw Valley",238,"36.74023","-119.24679"
17,"Innsbruck",14,"47.26266","11.39454"
18,"Sarajevo",220,"43.84864","18.35644"
19,"Mexico City",143,"19.42847","-99.12766"
20,"Munich",87,"48.13743","11.57549"
21,"Seoul",178,"37.566","126.9784"
22,"Roma",113,"41.89193","12.51133"
23,"Montréal",41,"45.50884","-73.58781"
24,"Moscow",181,"55.75222","37.61556"
25,"Tokyo",115,"35.6895","139.69171"
26,"Vancouver",41,"49.24966","-123.11934"
27,"Grenoble",80,"45.17155","5.72239"
28,"Sapporo",115,"43.06667","141.35"
