"id","name","id_sport"
0,"Basketball Men's Basketball",0
1,"Judo Men's Extra-Lightweight",1
2,"Speed Skating Women's 500 metres",4
3,"Speed Skating Women's 1,000 metres",4
4,"Cross Country Skiing Men's 10 kilometres",5
5,"Cross Country Skiing Men's 50 kilometres",5
6,"Cross Country Skiing Men's 10/15 kilometres Pursuit",5
7,"Cross Country Skiing Men's 4 x 10 kilometres Relay",5
8,"Cross Country Skiing Men's 30 kilometres",5
9,"Ice Hockey Men's Ice Hockey",7
10,"Badminton Men's Singles",9
11,"Sailing Women's Windsurfer",10
12,"Biathlon Women's 7.5 kilometres Sprint",11
13,"Athletics Men's Shot Put",6
14,"Alpine Skiing Men's Downhill",14
15,"Alpine Skiing Men's Super G",14
16,"Alpine Skiing Men's Giant Slalom",14
17,"Alpine Skiing Men's Slalom",14
18,"Alpine Skiing Men's Combined",14
19,"Handball Women's Handball",15
20,"Weightlifting Women's Super-Heavyweight",16
21,"Wrestling Men's Light-Heavyweight, Greco-Roman",17
22,"Speed Skating Men's 500 metres",4
23,"Speed Skating Men's 1,500 metres",4
24,"Luge Women's Singles",18
25,"Water Polo Men's Water Polo",19
26,"Sailing Mixed Three Person Keelboat",10
27,"Hockey Women's Hockey",20
28,"Rowing Men's Lightweight Double Sculls",21
29,"Sailing Men's Two Person Dinghy",10
30,"Athletics Men's 1,500 metres",6
31,"Bobsleigh Men's Four",22
32,"Swimming Men's 100 metres Butterfly",8
33,"Swimming Men's 200 metres Butterfly",8
34,"Swimming Men's 4 x 100 metres Medley Relay",8
35,"Football Women's Football",2
36,"Speed Skating Men's 5,000 metres",4
37,"Speed Skating Men's 10,000 metres",4
38,"Equestrianism Mixed Jumping, Individual",24
39,"Cross Country Skiing Men's 15 kilometres",5
40,"Shooting Men's Trap",25
41,"Boxing Men's Light-Welterweight",26
42,"Athletics Women's Javelin Throw",6
43,"Wrestling Men's Heavyweight, Freestyle",17
44,"Gymnastics Men's Individual All-Around",12
45,"Gymnastics Men's Floor Exercise",12
46,"Gymnastics Men's Parallel Bars",12
47,"Gymnastics Men's Horizontal Bar",12
48,"Gymnastics Men's Rings",12
49,"Gymnastics Men's Pommelled Horse",12
50,"Athletics Men's Pole Vault",6
51,"Taekwondo Men's Flyweight",27
52,"Athletics Men's 5,000 metres",6
53,"Weightlifting Men's Middleweight",16
54,"Football Men's Football",2
55,"Rowing Men's Coxless Pairs",21
56,"Fencing Men's epee, Individual",23
57,"Judo Men's Half-Middleweight",1
58,"Taekwondo Women's Flyweight",27
59,"Boxing Men's Flyweight",26
60,"Basketball Women's Basketball",0
61,"Diving Men's Platform",29
62,"Canoeing Men's Canadian Doubles, 500 metres",30
63,"Canoeing Men's Canadian Doubles, 1,000 metres",30
64,"Canoeing Men's Kayak Fours, 1,000 metres",30
65,"Handball Men's Handball",15
66,"Rowing Women's Coxless Pairs",21
67,"Boxing Men's Middleweight",26
68,"Judo Men's Lightweight",1
69,"Tennis Men's Doubles",31
70,"Shooting Mixed Skeet",25
71,"Wrestling Men's Featherweight, Freestyle",17
72,"Sailing Mixed Two Person Heavyweight Dinghy",10
73,"Athletics Women's Shot Put",6
74,"Rowing Men's Coxed Eights",21
75,"Cycling Women's Sprint",28
76,"Cycling Women's 500 metres Time Trial",28
77,"Athletics Men's 110 metres Hurdles",6
78,"Shooting Mixed Trap",25
79,"Athletics Women's Marathon",6
80,"Athletics Men's 100 metres",6
81,"Athletics Men's High Jump",6
82,"Fencing Men's Foil, Individual",23
83,"Fencing Men's Foil, Team",23
84,"Fencing Men's Sabre, Team",23
85,"Boxing Men's Lightweight",26
86,"Boxing Men's Welterweight",26
87,"Rowing Men's Quadruple Sculls",21
88,"Rowing Men's Double Sculls",21
89,"Rowing Men's Coxed Pairs",21
90,"Athletics Men's 400 metres Hurdles",6
91,"Athletics Men's 4 x 100 metres Relay",6
92,"Athletics Men's 400 metres",6
93,"Athletics Men's Hammer Throw",6
94,"Weightlifting Men's Lightweight",16
95,"Athletics Men's Long Jump",6
96,"Weightlifting Men's Featherweight",16
97,"Athletics Men's 800 metres",6
98,"Cycling Men's Road Race, Individual",28
99,"Swimming Men's 100 metres Freestyle",8
100,"Hockey Men's Hockey",20
101,"Alpine Skiing Women's Slalom",14
102,"Rowing Women's Single Sculls",21
103,"Swimming Men's 50 metres Freestyle",8
104,"Weightlifting Women's Featherweight",16
105,"Water Polo Women's Water Polo",19
106,"Figure Skating Men's Singles",33
107,"Weightlifting Men's Heavyweight",16
