"id","year","id_city","season"
0,"1992",0,"summer"
1,"2012",1,"summer"
2,"1920",2,"summer"
3,"1900",3,"summer"
4,"1988",4,"winter"
5,"1992",5,"winter"
6,"1994",6,"winter"
7,"1932",7,"summer"
8,"2002",8,"winter"
9,"1952",9,"summer"
10,"1980",10,"winter"
11,"2000",11,"summer"
12,"1996",12,"summer"
13,"1912",13,"summer"
14,"1924",3,"summer"
15,"2014",14,"winter"
16,"1948",1,"summer"
17,"1998",15,"winter"
18,"2006",16,"winter"
19,"2008",17,"summer"
20,"2016",18,"summer"
21,"2004",19,"summer"
22,"1960",20,"winter"
23,"1964",21,"winter"
24,"1984",22,"winter"
25,"1984",7,"summer"
26,"1968",23,"summer"
27,"1972",24,"summer"
28,"1988",25,"summer"
29,"1936",26,"summer"
30,"1952",27,"winter"
31,"1956",28,"winter"
32,"1956",29,"summer"
33,"1960",30,"summer"
34,"1928",31,"summer"
35,"1976",32,"summer"
36,"1980",33,"summer"
37,"1964",34,"summer"
38,"2010",35,"winter"
39,"1968",36,"winter"
40,"1906",19,"summer"
41,"1972",37,"winter"
42,"1976",21,"winter"
43,"1924",38,"winter"
44,"1904",39,"summer"
45,"1928",40,"winter"
46,"1908",1,"summer"
47,"1948",40,"winter"
48,"1932",10,"winter"
49,"1936",41,"winter"
50,"1896",19,"summer"
51,"1956",13,"summer"
