"id","type","value","id_jo","id_country"
0,"none",127,0,46
1,"none",162,1,46
2,"none",10,2,155
3,"none",13,3,155
4,"none",16,4,155
5,"none",55,3,238
6,"none",56,4,238
7,"none",39,5,79
8,"none",23,6,79
9,"none",60,7,79
10,"none",72,8,79
11,"none",29,4,79
12,"bronze",1,9,79
13,"none",41,3,164
14,"gold",6,3,164
15,"bronze",4,3,164
16,"silver",9,4,164
17,"bronze",4,4,164
18,"none",42,4,164
19,"none",40,10,164
20,"none",44,5,164
21,"gold",11,5,164
22,"none",44,11,164
23,"gold",1,11,164
24,"gold",3,12,164
25,"none",57,13,180
26,"none",44,7,164
27,"none",29,14,164
28,"none",16,15,164
29,"none",23,16,164
30,"none",25,17,164
31,"none",66,18,155
32,"none",34,19,164
33,"none",66,20,164
34,"bronze",5,21,155
35,"silver",5,8,155
36,"none",81,7,155
37,"none",82,0,79
38,"none",163,1,80
39,"none",79,8,155
40,"bronze",3,8,164
41,"gold",2,15,164
42,"none",57,0,164
43,"none",17,10,73
44,"none",20,5,73
45,"none",37,22,164
46,"none",39,1,149
47,"none",31,14,73
48,"none",40,12,73
49,"none",32,0,73
50,"none",35,8,73
51,"none",133,13,209
52,"none",123,23,80
53,"none",63,7,69
54,"none",96,21,35
55,"none",60,22,35
56,"bronze",8,13,113
57,"bronze",2,12,209
58,"none",6,0,44
59,"bronze",9,13,15
60,"none",14,20,212
61,"silver",20,12,181
62,"none",191,1,181
63,"none",93,7,10
64,"none",133,12,209
65,"none",110,7,57
66,"none",65,0,57
67,"none",111,14,20
68,"gold",4,12,20
69,"gold",7,12,80
70,"gold",11,1,80
71,"silver",18,13,80
72,"none",63,1,10
73,"none",204,14,90
74,"gold",1,7,40
75,"none",3,19,40
76,"none",49,8,227
77,"gold",5,8,209
78,"none",64,7,143
79,"none",12,0,45
80,"silver",38,14,238
81,"none",66,23,209
82,"gold",1,24,209
83,"none",100,18,209
84,"none",70,24,209
85,"bronze",1,18,209
86,"none",25,18,45
87,"silver",25,14,181
88,"none",182,14,181
89,"none",150,1,113
90,"none",171,12,113
91,"none",170,14,80
92,"none",5,14,158
93,"none",18,23,158
94,"none",142,19,143
95,"silver",12,0,104
96,"none",22,20,160
97,"none",4,20,44
98,"none",27,1,3
99,"none",47,13,3
100,"gold",6,21,113
101,"gold",13,8,113
102,"gold",13,7,113
103,"gold",14,18,113
104,"silver",5,0,113
105,"none",152,8,113
106,"none",77,24,113
107,"none",12,23,121
108,"none",25,24,121
109,"none",20,13,17
110,"none",8,8,166
111,"none",14,25,109
112,"none",8,14,109
113,"none",10,0,166
114,"none",34,25,69
115,"none",27,21,125
116,"none",0,26,166
117,"none",13,14,177
118,"none",11,7,166
119,"none",11,14,166
120,"none",6,1,166
121,"none",12,18,134
122,"none",4,9,108
123,"none",7,12,166
124,"none",40,1,108
125,"none",29,12,15
126,"none",28,7,15
127,"none",148,7,113
128,"none",111,13,155
129,"none",23,16,113
130,"none",23,27,113
131,"none",4,13,109
132,"none",174,8,41
133,"none",163,7,41
134,"none",55,13,110
135,"bronze",17,12,13
136,"none",88,12,206
137,"none",78,26,238
138,"none",91,9,238
139,"bronze",12,9,238
140,"none",169,23,41
141,"none",172,12,41
142,"none",200,13,238
143,"silver",39,12,238
144,"none",33,12,149
145,"none",42,14,69
146,"none",85,1,69
147,"none",67,12,69
148,"none",6,12,72
149,"none",85,13,69
150,"none",32,0,69
151,"none",17,8,69
152,"none",3,25,235
153,"none",16,20,235
154,"none",3,20,121
155,"none",11,18,117
156,"none",9,22,212
157,"none",6,19,212
158,"none",6,23,69
159,"none",73,18,69
160,"none",16,20,69
161,"none",5,23,226
162,"none",35,21,69
163,"none",4,8,128
164,"none",7,12,212
165,"none",28,24,3
166,"none",29,21,3
167,"none",24,0,3
168,"none",42,12,3
169,"bronze",3,13,108
170,"none",69,13,21
171,"none",192,12,13
172,"none",183,1,13
173,"none",9,0,177
174,"none",9,8,177
175,"none",4,21,65
176,"none",7,0,65
177,"none",218,7,238
178,"none",211,14,238
179,"none",210,12,238
180,"none",200,1,238
181,"none",233,7,13
182,"none",191,14,13
183,"none",3,12,211
184,"none",164,18,41
185,"bronze",16,18,41
186,"none",48,23,108
187,"none",15,1,40
188,"none",3,8,52
189,"none",3,8,44
190,"none",13,13,40
191,"none",80,13,118
192,"none",2,13,34
193,"none",26,24,109
194,"none",10,7,121
195,"none",21,8,134
196,"none",32,7,134
197,"none",11,0,134
198,"none",0,8,34
199,"none",1,7,34
200,"none",2,7,212
201,"none",21,22,109
202,"none",11,18,195
203,"none",55,24,217
204,"none",5,21,135
205,"none",3,7,17
206,"none",8,18,17
207,"none",20,20,75
208,"none",13,19,134
209,"gold",1,22,166
210,"silver",1,25,166
211,"none",2,12,109
212,"none",7,1,109
213,"none",3,8,233
214,"none",24,14,107
215,"none",18,19,160
216,"none",53,19,172
217,"none",14,12,177
218,"none",7,0,109
219,"none",15,21,233
220,"none",7,18,233
221,"none",18,0,121
222,"none",44,21,160
223,"none",43,13,15
224,"none",21,8,15
225,"none",67,8,240
226,"gold",0,7,240
227,"none",48,1,240
228,"none",56,13,240
229,"silver",0,8,15
230,"gold",1,7,15
231,"none",30,14,15
232,"none",46,1,15
233,"none",9,1,233
234,"none",23,21,121
235,"gold",36,7,238
236,"none",65,14,240
237,"none",19,12,122
238,"none",14,1,122
239,"none",5,13,218
240,"none",145,13,181
241,"none",8,14,218
242,"silver",0,12,218
243,"none",14,1,218
244,"none",19,24,128
245,"none",65,7,240
246,"none",31,14,122
247,"none",35,28,115
248,"none",29,29,115
249,"none",89,22,115
250,"none",151,0,115
251,"none",99,20,115
252,"none",40,2,115
253,"none",48,3,115
254,"gold",1,4,115
255,"none",47,4,115
