"id","type","id_jo","id_country"
0,"none",0,46
1,"none",1,46
2,"none",2,155
3,"none",2,155
4,"none",3,155
5,"none",3,155
6,"none",4,155
7,"none",4,155
8,"none",3,238
9,"none",3,238
10,"none",3,238
11,"none",3,238
12,"none",4,238
13,"none",4,238
14,"none",4,238
15,"none",4,238
16,"none",3,238
17,"none",3,238
18,"none",3,238
19,"none",3,238
20,"none",4,238
21,"none",4,238
22,"none",4,238
23,"none",4,238
24,"none",5,79
25,"none",6,79
26,"none",7,79
27,"none",8,79
28,"none",7,79
29,"none",4,79
30,"Bronze",9,79
31,"none",7,79
32,"none",3,164
33,"Gold",3,164
34,"Bronze",3,164
35,"none",3,164
36,"Silver",4,164
37,"Bronze",4,164
38,"none",4,164
39,"none",4,164
40,"Silver",4,164
41,"none",10,164
42,"none",10,164
43,"none",10,164
44,"none",10,164
45,"none",5,164
46,"Gold",5,164
47,"none",5,164
48,"none",5,164
49,"Gold",5,164
50,"none",11,164
51,"Gold",11,164
52,"Gold",12,164
53,"none",13,180
54,"none",7,164
55,"none",14,164
56,"none",15,164
57,"none",15,164
58,"none",16,164
59,"none",17,164
60,"none",18,155
61,"none",19,164
62,"none",20,164
63,"Bronze",21,155
64,"Silver",8,155
65,"none",7,155
66,"none",0,79
67,"none",8,79
68,"none",1,80
69,"none",10,164
70,"none",8,155
71,"none",8,155
72,"none",8,155
73,"none",7,155
74,"none",7,155
75,"Bronze",8,164
76,"Gold",15,164
77,"none",15,164
78,"none",15,164
79,"none",0,164
80,"none",10,73
81,"none",10,73
82,"none",5,73
83,"none",5,73
84,"none",5,73
85,"none",22,164
86,"none",1,149
87,"none",14,73
88,"none",12,73
89,"none",0,73
90,"none",8,73
91,"none",13,209
92,"none",13,209
93,"none",13,209
94,"none",13,209
95,"none",13,209
96,"none",13,209
97,"none",23,80
98,"none",7,69
99,"none",13,209
100,"none",21,35
101,"none",22,35
102,"none",22,35
103,"none",22,35
104,"Bronze",13,113
105,"Bronze",12,209
106,"none",0,44
107,"Bronze",13,15
108,"none",20,212
109,"Silver",12,181
110,"none",1,181
111,"none",7,10
112,"none",7,10
113,"none",12,209
114,"none",7,57
115,"none",0,57
116,"none",0,57
117,"none",14,20
118,"Gold",12,20
119,"Gold",12,80
120,"Gold",1,80
121,"Silver",13,80
122,"none",1,10
123,"none",14,90
124,"Gold",7,40
125,"none",19,40
126,"none",8,227
