"id","type","id_jo","id_event","id_athlete"
200001,"none",21,155,99874
200002,"none",21,154,99874
200003,"Silver",44,97,99875
200004,"none",36,113,99876
200005,"none",0,74,99877
200006,"none",0,208,99877
200007,"none",32,456,99878
200008,"none",13,103,99879
200009,"none",13,147,99879
200010,"Gold",19,422,99880
200011,"Gold",19,350,99880
200012,"Gold",19,314,99880
200013,"none",1,350,99880
200014,"none",1,314,99880
200015,"Silver",43,13,99881
200016,"none",7,288,99882
200017,"none",46,106,99883
200018,"Bronze",46,107,99883
200019,"none",32,180,99884
200020,"none",28,289,99885
200021,"Gold",0,208,99885
200022,"none",12,74,99885
200023,"none",12,436,99885
200024,"none",21,74,99885
200025,"none",21,436,99885
200026,"none",25,163,99886
200027,"none",28,163,99886
200028,"none",19,177,99887
200029,"none",35,293,99888
200030,"none",35,348,99888
200031,"none",35,230,99888
200032,"none",35,170,99888
200033,"none",36,103,99889
200034,"Bronze",36,66,99889
200035,"none",25,103,99889
200036,"none",25,66,99889
200037,"none",13,497,99890
200038,"none",38,32,99891
200039,"none",14,619,99892
200040,"none",1,615,99893
200041,"none",19,260,99894
200042,"Gold",12,74,99895
200043,"none",8,451,99895
200044,"none",11,406,99896
200045,"none",26,289,99897
200046,"none",41,300,99898
200047,"none",41,418,99898
200048,"none",14,499,99899
200049,"none",3,154,99900
200050,"Gold",3,370,99900
200051,"none",3,324,99900
200052,"Gold",3,371,99900
200053,"none",3,620,99900
200054,"none",3,621,99900
200055,"none",3,622,99900
200056,"none",40,705,99900
200057,"none",40,154,99900
200058,"none",40,706,99900
200059,"Gold",40,707,99900
200060,"Gold",40,371,99900
200061,"none",40,683,99900
200062,"Silver",40,684,99900
200063,"Gold",40,681,99900
200064,"none",32,141,99901
200065,"Gold",13,47,99902
200066,"none",4,50,99903
200067,"Bronze",16,46,99904
200068,"Gold",9,46,99904
200069,"Gold",32,46,99904
200070,"none",32,223,99904
200071,"none",18,13,99905
200072,"none",27,109,99906
200073,"none",27,172,99906
200074,"none",22,242,99907
200075,"none",37,55,99908
200076,"none",37,104,99908
200077,"none",25,438,99909
200078,"Bronze",46,119,99910
200079,"none",2,752,99911
200080,"none",28,223,99912
200081,"none",2,110,99913
200082,"none",36,331,99914
200083,"none",35,74,99915
200084,"none",25,43,99916
200085,"none",28,43,99916
200086,"Bronze",25,95,99917
200087,"none",37,65,99918
200088,"none",16,480,99919
200089,"none",18,493,99920
200090,"none",38,493,99920
200091,"none",1,2,99921
200092,"none",35,252,99922
200093,"Gold",38,13,99923
200094,"none",27,149,99924
200095,"none",20,28,99925
200096,"none",35,66,99926
200097,"none",35,142,99926
200098,"none",37,86,99927
200099,"Silver",11,398,99928
200100,"none",24,300,99929
200101,"none",24,418,99929
200102,"none",4,300,99929
200103,"none",4,418,99929
200104,"none",4,419,99929
200105,"none",5,300,99929
200106,"none",5,418,99929
200107,"none",5,419,99929
200108,"Bronze",1,82,99930
200109,"none",28,267,99931
200110,"none",28,245,99931
200111,"none",0,267,99931
200112,"none",0,245,99931
200113,"none",12,267,99931
200114,"none",12,245,99931
200115,"none",11,267,99931
200116,"Silver",11,245,99931
200117,"Bronze",21,245,99931
200118,"none",28,86,99932
200119,"none",0,86,99932
200120,"none",17,404,99933
200121,"Gold",46,432,99934
200122,"Silver",16,141,99935
200123,"none",6,13,99936
200124,"Gold",14,191,99937
200125,"Silver",14,509,99937
200126,"Gold",14,92,99937
200127,"none",35,90,99938
200128,"none",1,127,99939
200129,"Bronze",1,128,99939
200130,"none",20,127,99939
200131,"none",20,128,99939
200132,"none",21,267,99940
200133,"Gold",21,245,99940
200134,"Bronze",19,267,99940
200135,"Gold",19,245,99940
200136,"none",1,174,99940
200137,"Gold",1,267,99940
200138,"Gold",1,245,99940
200139,"Silver",43,472,99941
200140,"none",20,240,99942
200141,"none",25,307,99943
200142,"none",27,190,99944
200143,"Bronze",34,97,99945
200144,"none",14,118,99946
200145,"none",16,2,99947
200146,"none",5,202,99948
200147,"none",35,97,99949
200148,"none",36,97,99949
200149,"none",37,113,99950
200150,"none",41,50,99951
200151,"none",12,396,99952
200152,"Gold",12,133,99953
