"id","id_country","year","value"
0,12,1960,"54208"
1,12,1961,"55434"
2,12,1962,"56234"
3,12,1963,"56699"
4,12,1964,"57029"
5,12,1965,"57357"
6,12,1966,"57702"
7,12,1967,"58044"
8,12,1968,"58377"
9,12,1969,"58734"
10,12,1970,"59070"
11,12,1971,"59442"
12,12,1972,"59849"
13,12,1973,"60236"
14,12,1974,"60527"
15,12,1975,"60653"
16,12,1976,"60586"
17,12,1977,"60366"
18,12,1978,"60102"
19,12,1979,"59972"
20,12,1980,"60097"
21,12,1981,"60561"
22,12,1982,"61341"
23,12,1983,"62213"
24,12,1984,"62826"
25,12,1985,"63024"
26,12,1986,"62645"
27,12,1987,"61838"
28,12,1988,"61072"
29,12,1989,"61033"
30,12,1990,"62152"
31,12,1991,"64623"
32,12,1992,"68240"
33,12,1993,"72495"
34,12,1994,"76705"
35,12,1995,"80324"
36,12,1996,"83211"
37,12,1997,"85450"
38,12,1998,"87280"
39,12,1999,"89009"
40,12,2000,"90866"
41,12,2001,"92892"
42,12,2002,"94992"
43,12,2003,"97016"
44,12,2004,"98744"
45,12,2005,"100028"
46,12,2006,"100830"
47,12,2007,"101226"
48,12,2008,"101362"
49,12,2009,"101452"
50,12,2010,"101665"
51,12,2011,"102050"
52,12,2012,"102565"
53,12,2013,"103165"
54,12,2014,"103776"
55,12,2015,"104339"
56,12,2016,"104865"
57,12,2017,"105361"
58,12,2018,"105846"
59,12,2019,"106310"
60,12,2020,"106766"
61,1,1960,"8996967"
62,1,1961,"9169406"
63,1,1962,"9351442"
64,1,1963,"9543200"
65,1,1964,"9744772"
66,1,1965,"9956318"
67,1,1966,"10174840"
68,1,1967,"10399936"
69,1,1968,"10637064"
70,1,1969,"10893772"
71,1,1970,"11173654"
72,1,1971,"11475450"
73,1,1972,"11791222"
74,1,1973,"12108963"
75,1,1974,"12412960"
76,1,1975,"12689164"
77,1,1976,"12943093"
78,1,1977,"13171294"
79,1,1978,"13341199"
80,1,1979,"13411060"
81,1,1980,"13356500"
82,1,1981,"13171679"
83,1,1982,"12882518"
84,1,1983,"12537732"
85,1,1984,"12204306"
86,1,1985,"11938204"
87,1,1986,"11736177"
88,1,1987,"11604538"
89,1,1988,"11618008"
90,1,1989,"11868873"
91,1,1990,"12412311"
92,1,1991,"13299016"
93,1,1992,"14485543"
94,1,1993,"15816601"
95,1,1994,"17075728"
96,1,1995,"18110662"
97,1,1996,"18853444"
98,1,1997,"19357126"
99,1,1998,"19737770"
100,1,1999,"20170847"
101,1,2000,"20779957"
102,1,2001,"21606992"
103,1,2002,"22600774"
104,1,2003,"23680871"
