"id","name"
0,"Basketball"
1,"Judo"
2,"Speed Skating"
3,"Cross Country Skiing"
4,"Ice Hockey"
5,"Badminton"
6,"Sailing"
7,"Biathlon"
8,"Athletics"
9,"Alpine Skiing"
10,"Handball"
11,"Weightlifting"
12,"Wrestling"
13,"Luge"
14,"Water Polo"
15,"Hockey"
16,"Rowing"
17,"Bobsleigh"
18,"Swimming"
19,"Football"
20,"Equestrianism"
21,"Shooting"
22,"Boxing"
23,"Gymnastics"
24,"Taekwondo"
25,"Fencing"
26,"Diving"
27,"Canoeing"
28,"Tennis"
29,"Cycling"
30,"Figure Skating"
31,"Softball"
32,"Archery"
33,"Volleyball"
34,"Synchronized Swimming"
35,"Modern Pentathlon"
36,"Table Tennis"
37,"Nordic Combined"
38,"Baseball"
39,"Rhythmic Gymnastics"
40,"Freestyle Skiing"
41,"Rugby Sevens"
42,"Trampolining"
43,"Beach Volleyball"
44,"Triathlon"
45,"Curling"
46,"Golf"
47,"Snowboarding"
48,"Ski Jumping"
49,"Short Track Speed Skating"
50,"Skeleton"
