"TIME","GEO","UNIT","SECTOR","TYPE","NA_ITEM","Value","Flag and Footnotes"
"2007","European Union - 28 countries (2013-2020)","Million euro","General government","Recreation, culture and religion","Total general government expenditure","146,756.5",""
"2007","European Union - 28 countries (2013-2020)","Million euro","General government","Recreational and sporting services","Total general government expenditure","47,036.1",""
"2007","European Union - 28 countries (2013-2020)","Million euro","General government","Cultural services","Total general government expenditure","61,505.1",""
"2007","European Union - 28 countries (2013-2020)","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","27,411.7",""
"2007","European Union - 28 countries (2013-2020)","Million euro","General government","Religious and other community services","Total general government expenditure","6,563.9",""
"2007","European Union - 28 countries (2013-2020)","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","1,999.1",""
"2007","European Union - 28 countries (2013-2020)","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","2,241.5",""
"2007","European Union - 28 countries (2013-2020)","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.5",""
"2007","European Union - 28 countries (2013-2020)","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.8",""
"2007","European Union - 28 countries (2013-2020)","Percentage of total","General government","Cultural services","Total general government expenditure","1.1",""
"2007","European Union - 28 countries (2013-2020)","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.5",""
"2007","European Union - 28 countries (2013-2020)","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2007","European Union - 28 countries (2013-2020)","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2007","European Union - 28 countries (2013-2020)","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2007","Belgium","Million euro","General government","Recreation, culture and religion","Total general government expenditure","4,193.3",""
"2007","Belgium","Million euro","General government","Recreational and sporting services","Total general government expenditure","1,268.5",""
"2007","Belgium","Million euro","General government","Cultural services","Total general government expenditure","1,595.4",""
"2007","Belgium","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","886.9",""
"2007","Belgium","Million euro","General government","Religious and other community services","Total general government expenditure","263.3",""
"2007","Belgium","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","47.4",""
"2007","Belgium","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","131.8",""
"2007","Belgium","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.5",""
"2007","Belgium","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.8",""
